,Serial Number,Word,Frequency
511,511,vandiver,6
512,512,traditional,78
513,513,visit,109
514,514,chambers,11
515,515,toward,386
516,516,likely,151
517,517,mention,50
518,518,$100,12
519,519,million,204
520,520,issue,152
521,521,earlier,146
522,522,priority,18
523,523,item,55
524,524,construction,95
525,525,bonds,47
526,526,meanwhile,35
527,527,learned,117
528,528,very,796
529,529,near,198
530,530,being,712
531,531,ready,143
532,532,worth,94
533,533,reconstruction,11
534,534,go,626
535,535,courts,50
536,536,friendly,61
537,537,test,119
538,538,validity,15
539,539,then,1380
540,540,sales,133
541,541,begin,84
542,542,contracts,24
543,543,let,384
544,544,repair,20
545,545,most,1159
546,546,heavily,60
547,547,traveled,22
548,548,highways,16
549,549,source,94
550,550,$4,5
551,551,roads,58
552,552,authority,93
553,553,road,197
554,554,revolving,6
555,555,fund,62
556,556,apparently,125
557,557,intends,6
558,558,issued,50
559,559,every,491
560,560,old,661
561,561,ones,116
562,562,paid,145
563,563,off,639
564,564,authorities,39
565,565,opened,131
566,566,1958,91
567,567,battle,87
568,568,against,627
569,569,issuance,7
570,570,$50,7
571,571,marvin,9
572,572,told,413
573,573,constitution,49
574,574,consulted,17
575,575,yet,419
576,576,about,1815
577,577,plans,113
578,578,rep.,13
579,579,d.,65
580,580,offer,80
581,581,resolution,64
582,582,house,591
583,583,action,291
584,584,itself,304
585,585,$10,7
586,586,day,687
587,587,increase,195
588,588,expense,50
589,589,allowances,25
590,590,sunday,101
591,591,research,171
592,592,done,319
593,593,can,1772
594,594,outright,9
595,595,notice,59
596,596,given,377
597,597,reconsideration,4
598,598,sought,55
599,599,while,680
600,600,emphasizing,4
601,601,technical,120
602,602,details,57
603,603,fully,80
604,604,worked,128
605,605,seek,69
606,606,set,414
607,607,aside,67
608,608,privilege,18
609,609,similar,157
610,610,passed,157
611,611,word,274
612,612,offered,83
613,613,pointed,74
614,614,last,676
615,615,november,74
616,616,rejected,33
617,617,constitutional,25
618,618,amendment,23
619,619,allow,72
620,620,pay,172
621,621,raises,16
622,622,sessions,26
623,623,veteran,27
624,624,jackson,36
625,625,legislator,7
626,626,aid,134
627,627,education,214
628,628,something,450
629,629,consistently,19
630,630,opposed,41
631,631,past,281
632,632,barber,8
633,633,commerce,58
634,634,asking,67
635,635,endorse,6
636,636,increased,146
637,637,support,180
638,638,provided,132
639,639,expended,12
640,640,13th,6
641,641,members,325
642,642,congressional,22
643,643,delegation,11
644,644,washington,206
645,645,like,1292
646,646,see,772
647,647,congressmen,10
648,648,specifically,38
649,649,him,2619
650,650,tossed,31
651,651,formally,18
652,652,read,174
653,653,event,81
654,654,congress,152
655,655,does,485
656,656,board,239
657,657,directed,68
658,658,give,389
659,659,teacher,80
660,660,long,752
661,661,hot,130
662,662,controversy,26
663,663,miller,22
664,664,school,493
665,665,superintendent,17
666,666,policeman,19
667,667,put,437
668,668,coolest,4
669,669,i,5164
670,670,ever,344
671,671,saw,352
672,672,harry,35
673,673,davis,27
674,674,agriculture,23
675,675,defeated,15
676,676,felix,30
677,677,bush,14
678,678,principal,92
679,679,democratic,109
680,680,votes,20
681,681,got,482
682,682,ordinary,72
683,683,carey,5
684,684,armed,60
685,685,pistol,27
686,686,stood,212
687,687,polls,10
688,688,insure,24
689,689,order,376
690,690,tom,63
691,691,just,872
692,692,church,348
693,693,didn't,401
694,694,smell,34
695,695,drop,59
696,696,liquor,43
697,697,bit,101
698,698,trouble,134
699,699,leading,68
700,700,quiet,76
701,701,marked,85
702,702,anonymous,17
703,703,midnight,23
704,704,phone,54
705,705,calls,70
706,706,veiled,6
707,707,threats,14
708,708,violence,46
709,709,former,131
710,710,george,129
711,711,p.,58
712,712,shot,113
713,713,himself,603
714,714,death,277
715,715,march,121
716,716,18,55
717,717,days,384
718,718,post,85
719,719,dispute,34
720,720,during,585
721,721,reportedly,9
722,722,telephone,76
723,723,too,834
724,724,subjected,24
725,725,soon,199
726,726,scheduled,38
727,727,local,288
728,728,feared,14
729,729,carry,88
730,730,gun,118
731,731,promised,45
732,732,sheriff,20
733,733,good,806
734,734,promise,45
735,735,everything,185
736,736,went,507
737,737,real,258
738,738,smooth,42
739,739,wasn't,154
740,740,austin,18
741,741,approval,51
742,742,price,108
743,743,abandoned,25
744,744,seemed,333
745,745,certain,313
746,746,thursday,33
747,747,adamant,5
748,748,protests,11
749,749,bankers,15
750,750,daniel,14
751,751,personally,40
752,752,led,132
753,753,fight,98
754,754,measure,91
755,755,watered,7
756,756,down,895
757,757,considerably,44
758,758,rejection,11
759,759,hearing,76
760,760,revenue,35
761,761,taxation,11
762,762,rules,85
763,763,automatically,36
764,764,subcommittee,5
765,765,week,275
766,766,questions,140
767,767,appearing,16
768,768,witnesses,21
769,769,left,480
770,770,little,831
771,771,doubt,114
772,772,recommend,25
773,773,passage,49
774,774,termed,15
775,775,extremely,50
776,776,conservative,31
777,777,estimate,39
778,778,produce,82
779,779,17,41
780,780,dollars,97
781,781,help,311
782,782,anticipated,23
783,783,deficit,12
784,784,63,5
785,785,current,104
786,786,fiscal,120
787,787,31,38
788,788,merely,135
789,789,means,310
790,790,enforcing,5
791,791,books,96
792,792,republic,43
793,793,permits,27
794,794,over,1236
795,795,bank,83
796,796,accounts,38
797,797,stocks,18
798,798,personal,196
799,799,persons,121
800,800,missing,33
801,801,seven,113
802,802,bill,143
803,803,drafted,5
804,804,banks,37
805,805,insurance,46
806,806,firms,55
807,807,pipeline,6
808,808,companies,87
809,809,corporations,25
810,810,report,174
811,811,treasurer,14
812,812,cannot,258
813,813,enforced,20
814,814,now,1314
815,815,because,883
816,816,almost,432
817,817,impossible,84
818,818,locate,16
819,819,declared,66
820,820,lawrence,39
821,821,lawyer,43
822,822,representing,30
823,823,sounded,35
824,824,opposition,46
825,825,keynote,4
826,826,violate,7
827,827,their,2669
828,828,contractual,7
829,829,obligations,22
830,830,undermine,8
831,831,confidence,56
832,832,customers,40
833,833,if,2198
834,834,you,3286
835,835,destroy,48
836,836,economy,79
837,837,circulation,16
838,838,millions,49
839,839,charles,96
840,840,hughes,27
841,841,sherman,29
842,842,sponsor,22
843,843,enact,7
844,844,amount,172
845,845,gift,33
846,846,pockets,17
847,847,contention,9
848,848,denied,47
849,849,several,377
850,850,including,171
851,851,scott,16
852,852,hudson,53
853,853,jones,72
854,854,houston,25
855,855,howard,32
856,856,cox,5
857,857,argued,29
858,858,probably,261
859,859,impair,4
860,860,complained,22
861,861,enough,430
862,862,introduced,52
863,863,senators,10
864,864,unanimously,11
865,865,parkhouse,5
866,866,dallas,58
867,867,authorizing,5
868,868,schools,195
869,869,deaf,12
870,870,designed,108
871,871,special,250
872,872,schooling,5
873,873,students,213
874,874,scholastic,9
875,875,reduced,79
876,876,debate,32
877,877,authorize,5
878,878,agency,56
879,879,establish,58
880,880,"300,000",6
881,881,population,136
882,882,require,86
883,883,children,355
884,884,between,730
885,885,6,114
886,886,attend,54
887,887,permitting,9
888,888,older,93
889,889,residential,45
890,890,here,750
891,891,budget,59
892,892,harris,28
893,893,el,20
894,894,paso,11
895,895,savings,23
896,896,yearly,12
897,897,year's,43
898,898,capital,85
899,899,absorbed,24
900,900,tea,29
901,901,estimated,67
902,902,saving,21
903,903,coming,174
904,904,live,177
905,905,get,749
906,906,hear,153
907,907,horse,117
908,908,v.,31
909,909,red,197
910,910,joe,55
911,911,still,782
912,912,expects,22
913,913,tell,268
914,914,folks,18
915,915,why,404
916,916,thinks,23
917,917,we're,61
918,918,',317
919,919,pro,16
920,920,letters,115
921,921,con,7
922,922,betting,5
923,923,believe,200
924,924,people,847
925,925,better,414
926,926,informed,57
927,927,question,257
928,928,oppose,15
929,929,i'm,269
930,930,willing,69
931,931,stake,20
932,932,my,1318
933,933,san,70
934,934,antonio,6
935,935,ponies,6
936,936,heard,247
937,937,option,5
938,938,proposal,41
939,939,favorable,33
940,940,although,321
941,941,faces,72
942,942,hard,202
943,943,later,397
944,944,finally,191
945,945,sent,145
946,946,extending,29
947,947,planning,129
948,948,cities,107
949,949,quickly,89
950,950,whipped,12
951,951,meager,6
952,952,fare,7
953,953,bills,47
954,954,committees,18
955,955,passing,65
956,956,calendar,28
957,957,acts,39
958,958,districts,38
959,959,another,684
960,960,enlarged,7
961,961,navigation,6
962,962,district,135
963,963,third,190
964,964,amended,14
965,965,creation,46
966,966,previously,58
967,967,adopted,45
968,968,without,583
969,969,dissent,5
970,970,a.,113
971,971,r.,61
972,972,schwartz,6
973,973,mentally,15
974,974,retarded,7
975,975,gulf,22
976,976,coast,61
977,977,meantime,12
978,978,accept,72
979,979,gifts,11
980,980,site,64
981,981,revision,8
982,982,louis,73
983,983,retailers,5
984,984,group,390
985,985,miscellaneous,10
986,986,excise,4
987,987,taxes,45
988,988,eliminating,15
989,989,requirement,27
990,990,return,180
991,991,instead,173
992,992,certificate,7
993,993,violation,17
994,994,penalty,14
995,995,plus,72
996,996,"$1,000",11
997,997,fine,161
998,998,series,130
999,999,league,69
1000,1000,paris,67
1001,1001,relieve,13
1002,1002,estate,51
1003,1003,brokers,4
1004,1004,own,772
1005,1005,annual,93
1006,1006,licensing,6
1007,1007,fee,16
1008,1008,license,36
1009,1009,natural,156
1010,1010,gas,99
1011,1011,utility,29
1012,1012,right,613
1013,1013,eminent,9
1014,1014,domain,9
1015,1015,frank,68
1016,1016,owen,25
1017,1017,3,287
1018,1018,acquire,27
1019,1019,sites,16
1020,1020,underground,19
1021,1021,storage,41
1022,1022,marshall,27
1023,1023,commission,103
1024,1024,suggested,105
1025,1025,fill,50
1026,1026,need,360
1027,1027,costly,16
1028,1028,elections,51
1029,1029,selected,74
1030,1030,composed,40
1031,1031,lieutenant,29
1032,1032,chief,119
1033,1033,justice,114
1034,1034,supreme,51
1035,1035,representatives,41
1036,1036,decided,141
1037,1037,taking,175
1038,1038,poll,9
1039,1039,kind,313
1040,1040,texans,9
1041,1041,prefer,27
1042,1042,adverse,11
1043,1043,65,13
1044,1044,kept,186
1045,1045,affairs,84
1046,1046,april,71
1047,1047,4,206
1048,1048,u.s.,162
1049,1049,senator,40
1050,1050,roberts,37
1051,1051,idea,195
1052,1052,delay,21
1053,1053,kill,63
1054,1054,west,235
1055,1055,texan,5
1056,1056,reported,119
1057,1057,gotten,16
1058,1058,feb.,20
1059,1059,22,46
1060,1060,final,156
1061,1061,legislative,40
1062,1062,two-thirds,12
1063,1063,printed,36
1064,1064,opponents,13
1065,1065,couldn't,175
1066,1066,information,269
1067,1067,proposals,29
1068,1068,intelligent,26
1069,1069,choice,113
1070,1070,except,181
1071,1071,absent,28
1072,1072,paradise,12
1073,1073,lost,173
1074,1074,alleged,10
1075,1075,water,445
1076,1076,needs,152
1077,1077,big,360
1078,1078,cotten,4
1079,1079,insisted,43
1080,1080,development,334
1081,1081,effort,145
1082,1082,fort,55
1083,1083,cover,88
1084,1084,places,100
1085,1085,wise,36
1086,1086,hamlet,7
1087,1087,250,11
1088,1088,shouting,32
1089,1089,ended,60
1090,1090,114,4
1091,1091,sending,34
1092,1092,sponsored,30
1093,1093,maximum,79
1094,1094,loan,46
1095,1095,could,1601
1096,1096,project,93
1097,1097,construed,6
1098,1098,large,361
1099,1099,felt,357
1100,1100,spent,104
1101,1101,providing,59
1102,1102,statements,68
1103,1103,paying,26
1104,1104,benefit,63
1105,1105,pending,14
1106,1106,sway,5
1107,1107,attack,105
1108,1108,bill's,5
1109,1109,defenders,6
1110,1110,mostly,44
1111,1111,small-town,6
1112,1112,de,122
1113,1113,la,52
1114,1114,mission,78
1115,1115,f.,59
1116,1116,collins,6
1117,1117,newton,6
1118,1118,chapman,6
1119,1119,springs,21
1120,1120,poor,113
1121,1121,boy's,16
1122,1122,peanut,6
1123,1123,serving,38
1124,1124,reducing,31
1125,1125,learning,60
1126,1126,educational,70
1127,1127,methods,142
1128,1128,c.,93
1129,1129,grover,4
1130,1130,teaches,11
1131,1131,history,286
1132,1132,24,48
1133,1133,12,96
1134,1134,semester,10
1135,1135,hours,174
1136,1136,so-called,32
1137,1137,teaching,67
1138,1138,required,182
1139,1139,junior,75
1140,1140,senior,34
1141,1141,high,497
1142,1142,normal,136
1143,1143,college,267
1144,1144,30,112
1145,1145,teachers,69
1146,1146,least,343
1147,1147,credit,64
1148,1148,subject,161
1149,1149,remainder,19
1150,1150,subjects,81
1151,1151,person,174
1152,1152,master's,7
1153,1153,degree,125
1154,1154,physics,22
1155,1155,chemistry,16
1156,1156,math,4
1157,1157,english,195
1158,1158,permitted,57
1159,1159,teach,41
1160,1160,150,9
1161,1161,immediately,123
1162,1162,joined,56
1163,1163,named,84
1164,1164,dr.,192
1165,1165,clarence,8
1166,1166,clark,35
1167,1167,hays,6
1168,1168,president,382
1169,1169,succeed,15
1170,1170,retire,9
1171,1171,close,234
1172,1172,holds,42
1173,1173,earned,18
1174,1174,university,214
1175,1175,oklahoma,13
1176,1176,master,72
1177,1177,science,131
1178,1178,&,163
1179,1179,bachelor,6
1180,1180,addition,142
1181,1181,rhode,105
1182,1182,island,167
1183,1183,massachusetts,50
1184,1184,institute,50
1185,1185,technology,43
1186,1186,captain,85
1187,1187,basketball,9
1188,1188,team,83
1189,1189,football,36
1190,1190,served,119
1191,1191,athletic,18
1192,1192,instructor,8
1193,1193,associate,21
1194,1194,professor,57
1195,1195,border,20
1196,1196,patrolman,12
1197,1197,signal,63
1198,1198,corps,110
1199,1199,army,132
1200,1200,denton,4
1201,1201,principals,4
1202,1202,independent,70
1203,1203,recommendation,24
1204,1204,chester,10
1205,1205,o.,29
1206,1206,racial,25
1207,1207,discrimination,23
1208,1208,employment,47
1209,1209,called,401
1210,1210,yesterday,83
1211,1211,ribbon,12
1212,1212,dependent,40
1213,1213,adc,8
1214,1214,cook,47
1215,1215,york,302
1216,1216,consulting,13
1217,1217,firm,109
1218,1218,10,152
1219,1219,range,157
1220,1220,soaring,5
1221,1221,case,362
1222,1222,load,45
1223,1223,serious,116
1224,1224,causes,58
1225,1225,family,331
1226,1226,breakdown,13
1227,1227,solve,20
1228,1228,monthly,23
1229,1229,"100,000",9
1230,1230,recipients,5
1231,1231,martin,55
1232,1232,co.,48
1233,1233,problems,247
1234,1234,forced,81
1235,1235,depend,45
1236,1236,subsistence,10
1237,1237,volume,135
1238,1238,cases,148
1239,1239,decrease,15
1240,1240,community,231
1241,1241,able,216
1242,1242,deal,143
1243,1243,effectively,37
1244,1244,relatively,85
1245,1245,limited,106
1246,1246,skills,37
1247,1247,color,140
1248,1248,underlying,20
1249,1249,extension,36
1250,1250,living,194
1251,1251,relatives,22
1252,1252,parents,91
1253,1253,preserving,10
1254,1254,unity,71
1255,1255,projects,68
1256,1256,prevention,27
1257,1257,illegitimacy,4
1258,1258,defendants,10
1259,1259,burglary,4
1260,1260,trial,134
1261,1261,indicating,16
1262,1262,guilt,33
1263,1263,arrest,19
1264,1264,parsons,5
1265,1265,criminal,24
1266,1266,bellows,8
1267,1267,defense,167
1268,1268,counsel,17
1269,1269,startled,21
1270,1270,observers,20
1271,1271,viewed,25
1272,1272,prelude,5
1273,1273,quarrel,20
1274,1274,six,220
1275,1275,eight,104
1276,1276,policemen,15
1277,1277,grant,47
1278,1278,client,15
1279,1279,alan,5
1280,1280,separate,79
1281,1281,request,49
1282,1282,fears,47
1283,1283,prejudicial,4
1284,1284,aspects,64
1285,1285,highly,94
1286,1286,strongly,37
1287,1287,indicated,108
1288,1288,knew,395
1289,1289,receiving,34
1290,1290,stolen,18
1291,1291,involving,33
1292,1292,themselves,270
1293,1293,others,323
1294,1294,leaned,38
1295,1295,bench,35
1296,1296,inquired,16
1297,1297,mean,199
1298,1298,admitting,8
1299,1299,?,4693
1300,1300,yes,144
1301,1301,your,923
1302,1302,honor,66
1303,1303,replied,57
1304,1304,amounts,44
1305,1305,true,231
1306,1306,conflict,52
1307,1307,july,66
1308,1308,kennedy,140
1309,1309,today,284
1310,1310,pushed,53
1311,1311,white,365
1312,1312,business,393
1313,1313,devote,15
1314,1314,attention,179
1315,1315,working,151
1316,1316,berlin,74
1317,1317,crisis,82
1318,1318,address,77
1319,1319,deliver,18
1320,1320,tomorrow,63
1321,1321,american,569
1322,1322,nationwide,5
1323,1323,television,50
1324,1324,radio,120
1325,1325,much,937
1326,1326,week-end,6
1327,1327,summer,134
1328,1328,cape,20
1329,1329,cod,6
1330,1330,writing,117
1331,1331,portions,11
1332,1332,aids,27
1333,1333,whom,146
1334,1334,talked,58
1335,1335,returned,115
1336,1336,port,21
1337,1337,mass.,12
1338,1338,spokesman,13
1339,1339,text,60
1340,1340,quite,281
1341,1341,way,908
1342,1342,completion,57
1343,1343,decisions,54
1344,1344,pierre,17
1345,1345,salinger,4
1346,1346,press,127
1347,1347,secretary,191
1348,1348,say,504
1349,1349,it's,302
1350,1350,thru,16
1351,1351,advisers,12
1352,1352,staff,113
1353,1353,doing,163
1354,1354,involved,147
1355,1355,composition,25
1356,1356,wording,4
1357,1357,rather,373
1358,1358,minute,55
1359,1359,meet,149
1360,1360,latest,35
1361,1361,precipitated,9
1362,1362,russia's,14
1363,1363,demands,55
1364,1364,nov.,21
1365,1365,dismissed,14
1366,1366,acting,61
1367,1367,karns,7
1368,1368,prosecution,9
1369,1369,obtained,115
1370,1370,unfair,13
1371,1371,fundamentally,9
1372,1372,illegal,9
1373,1373,matter,308
1374,1374,even,1170
1375,1375,significance,66
1376,1376,innocence,28
1377,1377,50,61
1378,1378,legal,72
1379,1379,rights,77
1380,1380,ruling,24
1381,1381,ruled,31
1382,1382,unable,54
1383,1383,contempt,15
1384,1384,proceedings,18
1385,1385,originally,23
1386,1386,133,4
1387,1387,morris,21
1388,1388,wexler,6
1389,1389,prosecutor,8
1390,1390,admitted,44
1391,1391,hearings,8
1392,1392,200,38
1393,1393,questioned,29
1394,1394,individuals,73
1395,1395,building,160
1396,1396,mayer,5
1397,1397,goldberg,10
1398,1398,judges,20
1399,1399,precinct,8
1400,1400,23d,5
1401,1401,ward,25
1402,1402,procedure,79
1403,1403,constituted,11
1404,1404,intimidation,5
1405,1405,repeatedly,18
1406,1406,coercion,4
1407,1407,used,611
1408,1408,questioning,21
1409,1409,privately,13
1410,1410,outside,210
1411,1411,room,384
1412,1412,misuse,5
1413,1413,processes,57
1414,1414,actually,166
1415,1415,abuse,18
1416,1416,process,196
1417,1417,vindication,4
1418,1418,function,113
1419,1419,east,183
1420,1420,st.,164
1421,1421,sitting,96
1422,1422,faced,54
1423,1423,35,18
1424,1424,complementary,4
